LocusName	Genome	Allele	Start Bp	End Bp	Contig
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1501..2000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1501..2000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1501..2000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1501..2000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(1501..2000)	gb|CP003298	1	1501	2000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2001..2500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2001..2500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2001..2500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2001..2500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2001..2500)	gb|CP003298	1	2001	2500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2501..3000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2501..3000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2501..3000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2501..3000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(2501..3000)	gb|CP003298	1	2501	3000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3001..3500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3001..3500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3001..3500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3001..3500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3001..3500)	gb|CP003298	1	3001	3500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3501..4000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3501..4000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3501..4000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3501..4000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(3501..4000)	gb|CP003298	1	3501	4000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4001..4500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4001..4500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4001..4500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4001..4500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4001..4500)	gb|CP003298	1	4001	4500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4501..5000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4501..5000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4501..5000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4501..5000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(4501..5000)	gb|CP003298	1	4501	5000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5001..5500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5001..5500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5001..5500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5001..5500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5001..5500)	gb|CP003298	1	5001	5500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5501..6000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5501..6000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5501..6000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5501..6000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(5501..6000)	gb|CP003298	1	5501	6000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6001..6500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6001..6500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6001..6500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6001..6500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6001..6500)	gb|CP003298	1	6001	6500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6501..7000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6501..7000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6501..7000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6501..7000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(6501..7000)	gb|CP003298	1	6501	7000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7001..7500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7001..7500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7001..7500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7001..7500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7001..7500)	gb|CP003298	1	7001	7500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7501..8000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7501..8000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7501..8000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7501..8000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(7501..8000)	gb|CP003298	1	7501	8000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8001..8500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8001..8500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8001..8500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8001..8500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8001..8500)	gb|CP003298	1	8001	8500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8501..9000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8501..9000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8501..9000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8501..9000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(8501..9000)	gb|CP003298	1	8501	9000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9001..9500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9001..9500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9001..9500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9001..9500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9001..9500)	gb|CP003298	1	9001	9500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9501..10000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9501..10000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9501..10000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9501..10000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(9501..10000)	gb|CP003298	1	9501	10000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10001..10500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10001..10500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10001..10500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10001..10500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10001..10500)	gb|CP003298	1	10001	10500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10501..11000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10501..11000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10501..11000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10501..11000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(10501..11000)	gb|CP003298	1	10501	11000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11001..11500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11001..11500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11001..11500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11001..11500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11001..11500)	gb|CP003298	1	11001	11500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11501..12000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11501..12000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11501..12000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11501..12000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(11501..12000)	gb|CP003298	1	11501	12000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12001..12500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12001..12500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12001..12500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12001..12500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12001..12500)	gb|CP003298	1	12001	12500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12501..13000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12501..13000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12501..13000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12501..13000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(12501..13000)	gb|CP003298	1	12501	13000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13001..13500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13001..13500)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13001..13500)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13001..13500)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13001..13500)	gb|CP003298	1	13001	13500	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13501..14000)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13501..14000)	dbj|AP010963	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13501..14000)	gb|AF074613	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13501..14000)	gb|CP001163	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(13501..14000)	gb|CP003298	1	13501	14000	gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(14001..14500)	dbj|AP010959	0	0	0	NA
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(14001..14500)	dbj|AP010963	0	0	0	NA
