	dbj|AP010959	dbj|AP010963	gb|AF074613	gb|CP001163	gb|CP003298
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(25501..26000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(26001..26500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(26501..27000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(27001..27500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(27501..28000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(28001..28500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(28501..29000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(29001..29500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(29501..30000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(30001..30500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(30501..31000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(31001..31500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(31501..32000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(32001..32500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(32501..33000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(33001..33500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(33501..34000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(34001..34500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(34501..35000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(35001..35500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(35501..36000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(36001..36500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(36501..37000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(37001..37500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(37501..38000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(38001..38500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(38501..39000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(39001..39500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(39501..40000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(40001..40500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(40501..41000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(41001..41500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(41501..42000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(42001..42500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(42501..43000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(43001..43500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(43501..44000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(44001..44500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(44501..45000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(45001..45500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(45501..46000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(46001..46500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(46501..47000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(47001..47500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(47501..48000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(48001..48500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(48501..49000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(49001..49500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(49501..50000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(50001..50500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(50501..51000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(51001..51500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(51501..52000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(52001..52500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(52501..53000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(53001..53500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(53501..54000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(54001..54500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(54501..55000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(55001..55500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(55501..56000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(56001..56500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(56501..57000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(57001..57500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(57501..58000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(58001..58500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(58501..59000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(59001..59500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(59501..60000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(60001..60500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(60501..61000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(61001..61500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(61501..62000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(62001..62500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(62501..63000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(63001..63500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(63501..64000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(64001..64500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(64501..65000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(65001..65500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(65501..66000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(66001..66500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(66501..67000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(67001..67500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(67501..68000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(68001..68500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(68501..69000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(69001..69500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(69501..70000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(70001..70500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(70501..71000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(71001..71500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(71501..72000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(72001..72500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(72501..73000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(73001..73500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(73501..74000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(74001..74500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(74501..75000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(75001..75500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(75501..76000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(76001..76500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(76501..77000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(77001..77500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(77501..78000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(78001..78500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(78501..79000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(79001..79500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(79501..80000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(80001..80500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(80501..81000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(81001..81500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(81501..82000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(82001..82500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(82501..83000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(83001..83500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(83501..84000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(84001..84500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(84501..85000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(85001..85500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(85501..86000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(86001..86500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(86501..87000)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(87001..87500)	0	0	0	0	1
gi|406780272|gb|CP003298.1|_Escherichia_coli_O104_H4_str._2009EL_2050_plasmid_p09EL50__complete_sequence_(87501..88000)	0	0	0	0	1
